twitter_account,twitter_user,full_name,party,followers,tweet_count,retweets_total,favorites_total,retweets_per_tweet,favorites_per_tweet
RepAndyBiggsAZ,Rep Andy Biggs,Andy Biggs,R,326020,7444,1092127,3332491,146.71238581407846,447.6747716281569
RepDerekKilmer,Rep. Derek Kilmer,Derek Kilmer,D,30063,2534,13182,64032,5.202052091554854,25.269139700078927
RepHultgren,Rep. Randy Hultgren,Randy Hultgren,R,20374,781,2499,5993,3.1997439180537772,7.673495518565941
Higgins4WNY,Higgins for Congress,Brian Higgins,D,1133,81,228,933,2.814814814814815,11.518518518518519
VanHollenForMD,Chris Van Hollen,Chris Van Hollen,D,6648,20,351,689,17.55,34.45
Jim_Jordan,Rep. Jim Jordan,Jim Jordan,R,2114920,1209,4861365,15813631,4020.9801488833746,13079.926385442515
latta4congress,Bob Latta,Bob Latta,R,1861,233,122,587,0.5236051502145923,2.51931330472103
BillPascrell,"Bill Pascrell, Jr.",Bill Pascrell,D,115082,4444,346995,942130,78.08168316831683,212.0004500450045
SenTomCotton,Tom Cotton,Tom Cotton,R,411661,3325,508985,1346593,153.0781954887218,404.9903759398496
LuetkemeyerB,Blaine Luetkemeyer,Blaine Luetkemeyer,R,1541,390,423,1019,1.0846153846153845,2.612820512820513
RepJohnRose,John Rose,John Rose,R,12767,412,2508,10704,6.087378640776699,25.980582524271846
McHenryCampaign,McHenry for Congress,Henry Cuellar,D,1281,471,468,955,0.9936305732484076,2.0276008492569004
RepJohnConyers,"John Conyers, Jr.",John Conyers,D,43362,668,34403,76682,51.50149700598802,114.7934131736527
RepRoKhanna,Rep. Ro Khanna,Ro Khanna,D,109205,6957,213546,644959,30.695127210004312,92.7064826793158
RepDLesko,Congresswoman Debbie Lesko,Debbie Lesko,R,94599,1632,184380,635930,112.9779411764706,389.66299019607845
SenWarren,Elizabeth Warren,Elizabeth Warren,D,6945377,3892,8005721,26767001,2056.9683967112023,6877.441161356629
RepMikeJohnson,Rep. Mike Johnson,Mike Johnson,R,72907,2043,151148,537232,73.98335780714635,262.96231032794907
RepBost,Rep. Mike Bost,Mike Bost,R,15085,1268,8511,29069,6.712145110410095,22.925078864353313
RepAnthonyBrown,Anthony Brown,Anthony G. Brown,D,20279,2765,53881,142926,19.486799276672695,51.69113924050633
RepSarbanes,Rep. John Sarbanes,John Sarbanes,D,26624,1611,34805,100052,21.60459342023588,62.10552451893234
MarcVeasey,Marc Veasey,Marc Veasey,D,6866,241,1123,3851,4.659751037344399,15.979253112033195
ElissaSlotkin,Elissa Slotkin,Elissa Slotkin,D,49979,627,32934,124379,52.526315789473685,198.37161084529507
JohnnyIsakson,Johnny Isakson,Johnny Isakson,R,4712,16,329,1114,20.5625,69.625
RepJasonCrow,Rep. Jason Crow,Jason Crow,D,133758,1264,57241,214728,45.285601265822784,169.87974683544303
lutherstrange,Luther Strange,Luther Strange,R,8474,829,2232,7284,2.692400482509047,8.78648974668275
DevinNunes,Devin Nunes,Devin Nunes,R,1261584,836,1772108,5375821,2119.7464114832537,6430.4078947368425
RepLindaSanchez,Rep. Linda Sanchez,Linda Sanchez,D,47667,1562,18976,49856,12.148527528809218,31.91805377720871
JeanneShaheen,Jeanne Shaheen,Jeanne Shaheen,D,21383,289,7422,23203,25.68166089965398,80.28719723183391
RepRutherfordFL,Rep. John Rutherford,John Rutherford,R,13658,1081,23257,68327,21.514338575393154,63.20721554116559
RepLucyMcBath,Rep. Lucy McBath,Lucy McBath,D,51829,642,55840,297334,86.97819314641744,463.13707165109037
sharicedavids,Sharice Davids,Sharice Davids,D,137424,1379,129004,552107,93.54894851341552,400.36765772298764
