twitter_account,twitter_user,full_name,party,followers,tweet_count,retweets_total,favorites_total,retweets_per_tweet,favorites_per_tweet
RepEspaillat,Adriano Espaillat,Adriano Espaillat,D,27707,7104,84301,208097,11.86669481981982,29.29293355855856
RogerMarshallMD,Dr. Roger Marshall,Roger Marshall,R,20940,1615,12692,45475,7.858823529411764,28.157894736842106
jamie_raskin,Jamie Raskin,Jamie Raskin,D,39963,225,3330,13528,14.8,60.12444444444444
SenatorBraun,Senator Mike Braun,Mike Braun,R,31557,806,51489,179015,63.88213399503722,222.1029776674938
RepMikeCoffman,Mike Coffman,Mike Coffman,R,37597,1105,26322,69870,23.82081447963801,63.23076923076923
WestermanAR,Bruce Westerman,Bruce Westerman,R,2402,296,164,874,0.5540540540540541,2.9527027027027026
collinpeterson,Collin Peterson,Collin Peterson,D,4804,57,364,1240,6.385964912280702,21.75438596491228
RepMeuser,Congressman Dan Meuser,Dan Meuser,R,15458,647,35400,118860,54.71406491499227,183.70942812982997
SpeakerRyan,Paul Ryan,Paul Ryan,R,3476439,3056,695518,3000221,227.59096858638745,981.7477094240837
RepJoshHarder,Rep. Josh Harder,Josh Harder,D,22398,1253,42979,126276,34.300877893056665,100.77893056664007
StevenPalazzo,Steven Palazzo,Steven Palazzo,R,2782,48,99,304,2.0625,6.333333333333333
RepAdrianSmith,Rep. Adrian Smith,Adrian Smith,R,15252,1209,4885,18984,4.040529363110008,15.702233250620347
BettyMcCollum04,Rep. Betty McCollum,Betty McCollum,D,44661,4657,95628,252951,20.534249516856345,54.31629804595233
DarrenSoto,Darren Soto,Darren Soto,D,6508,501,3104,8986,6.19560878243513,17.936127744510976
MarkAmodeiNV2,RepMarkAmodei,Mark Amodei,R,15786,210,2296,8853,10.933333333333334,42.15714285714286
RepRickCrawford,Rep Rick Crawford,Rick Crawford,R,26887,2451,32485,98932,13.253773969808242,40.36393308853529
WarrenDavidson,Warren Davidson,Warren Davidson,R,35948,2365,36848,114762,15.580549682875263,48.525158562367864
DwightEvansPA,Dwight Evans,Dwight Evans,D,5154,2695,33794,64465,12.53951762523191,23.92022263450835
McCaulforTexas,Team McCaul,Michael McCaul,R,3808,1091,9918,14545,9.090742438130157,13.33180568285976
KamalaHarris,Kamala Harris,Kamala Harris,D,18775520,7547,16730545,65681423,2216.84709155956,8702.984364648204
MikeKellyPA,Rep. Mike Kelly,Mike Kelly,R,25982,804,50505,178997,62.81716417910448,222.63308457711443
RepPeteOlson,Pete Olson,Pete Olson,R,12398,4474,21231,73194,4.7454179704962005,16.35985695127403
RogerWicker,Roger Wicker,Roger Wicker,R,15247,2149,6124,21948,2.8496975337366215,10.21312238250349
RepBrendanBoyle,US Rep Brendan Boyle,Brendan Boyle,D,58206,3088,247819,958057,80.25226683937824,310.25161917098444
MIDaveTrott,Dave Trott,Dave Trott,R,12982,321,2672,8577,8.32398753894081,26.7196261682243
RepCunningham,Archived: Rep. Joe Cunningham,Joe Cunningham,D,21680,1069,55393,158160,51.817586529466794,147.95135640785782
MartinHeinrich,Martin Heinrich,Martin Heinrich,D,206833,4543,359034,910112,79.03015628439357,200.33281972265024
auctnr1,Billy Long,Billy Long,R,9524,2971,29293,15080,9.859643217771794,5.075732076741838
RepTomEmmer,Tom Emmer,Tom Emmer,R,24231,2418,8547,31568,3.534739454094293,13.05541770057899
RepTedLieu,Rep. Ted Lieu,Ted Lieu,D,179768,2192,635888,1759555,290.0948905109489,802.716697080292
JohnsonLeads,Bill Johnson,Bill Johnson,R,4296,182,173,610,0.9505494505494505,3.3516483516483517
RepMcClintock,Tom McClintock,Tom McClintock,R,24239,272,4473,14966,16.44485294117647,55.02205882352941
SenJohnMcCain,John McCain,John McCain,R,2901427,1995,2118956,7866283,1062.1333333333334,3942.9989974937344
SenSherrodBrown,Sherrod Brown,Sherrod Brown,D,504579,4165,835368,2505436,200.5685474189676,601.5452581032413
jontester,Jon Tester,Jon Tester,D,34575,1358,37136,106239,27.346097201767304,78.23195876288659
BrendaLLawrence,Brenda Lawrence,Brenda Lawrence,D,8294,563,2868,15684,5.094138543516874,27.857904085257548
RepNewhouse,Rep. Dan Newhouse,Dan Newhouse,R,23291,971,4092,11663,4.214212152420186,12.011328527291452
SenGillibrand,Kirsten Gillibrand,Kirsten Gillibrand,D,1607112,5072,3148105,12281666,620.6831624605678,2421.464116719243
RepAdamSmith,Rep. Adam Smith,Adam Smith,D,41755,2101,35796,119255,17.037601142313186,56.76106615897192
BeraForCongress,Dr. Ami Bera,Ami Bera,D,4062,418,1324,2901,3.1674641148325358,6.940191387559809
RepJimBanks,Jim Banks,Jim Banks,R,62934,4917,244983,450225,49.82367297132398,91.56497864551555
DorisMatsui,Rep. Doris Matsui,Doris Matsui,D,43008,1304,16965,44479,13.009969325153374,34.109662576687114
SenSanders,Bernie Sanders,Bernie Sanders,D,12217612,4678,18316314,60816703,3915.415562206071,13000.577811030354
RepDavids,Rep. Sharice Davids,Sharice Davids,D,69320,869,67411,327486,77.57307249712314,376.85385500575376
RepSchneider,Rep. Brad Schneider,Brad Schneider,D,18035,2945,20832,55710,7.073684210526316,18.91680814940577
davidjtrone,David Trone,David Trone,D,8931,1050,17035,55650,16.223809523809525,53.0
SteveKnight25,Steve Knight,Steve Knight,R,6336,714,2501,8210,3.5028011204481793,11.49859943977591
kevincramer,Kevin Cramer,Kevin Cramer,R,7799,338,15145,43346,44.80769230769231,128.24260355029585
MikeJohnson,Mike Johnson,Mike Johnson,R,2055,62,3572,16155,57.61290322580645,260.56451612903226
JohnKennedyLA,John Neely Kennedy,John Kennedy,R,11229,1,41,217,41.0,217.0
Vote_Davidson,Warren Davidson,Warren Davidson,R,1373,2,0,1,0.0,0.5
marygayscanlon,Mary Gay Scanlon,Mary Gay Scanlon,D,10433,951,11200,37123,11.77707676130389,39.035751840168246
SenThomTillis,Senator Thom Tillis,Thom Tillis,R,121242,2209,99015,386389,44.823449524671794,174.91579900407424
WydenForOregon,Wyden for Oregon,Ron Wyden,D,3617,62,937,2101,15.112903225806452,33.88709677419355
RepKimSchrier,"Rep. Kim Schrier, M.D.",Kim Schrier,D,12851,548,6822,28006,12.44890510948905,51.105839416058394
RepGaramendi,John Garamendi,John Garamendi,D,32128,3291,23563,59678,7.159829838954725,18.133697964144638
RepLizCheney,Rep. Liz Cheney,Liz Cheney,R,178454,675,97936,306862,145.09037037037038,454.6103703703704
JackieSpeier,Jackie Speier,Jackie Speier,D,9266,900,16335,68575,18.15,76.19444444444444
RepDanBishop,Rep. Dan Bishop,Dan Bishop,R,8286,284,1050,3308,3.6971830985915495,11.647887323943662
katieporteroc,Katie Porter,Katie Porter,D,540929,2322,277910,1305816,119.68561584840654,562.3669250645995
LeaderMcConnell,Leader McConnell,Mitch McConnell,R,2099483,2551,1652015,6178249,647.595060760486,2421.892983143865
RepBlaine,Blaine Luetkemeyer,Blaine Luetkemeyer,R,16485,856,3565,10786,4.164719626168225,12.600467289719626
RepTomSuozzi,Tom Suozzi,Thomas Suozzi,D,16367,1300,15093,43473,11.61,33.44076923076923
RepGuthrie,Rep. Brett Guthrie,Brett Guthrie,R,18715,271,908,2640,3.3505535055350553,9.74169741697417
JohnJoyceForPA,John Joyce,John Joyce,R,1604,98,205,562,2.0918367346938775,5.73469387755102
RepTomRice,Congressman Tom Rice,Tom Rice,R,23508,1139,8559,25812,7.514486391571554,22.66198419666374
RoyBluntMO,RoyBluntMO,Roy Blunt,R,6949,51,305,1255,5.980392156862745,24.607843137254903
RepRalphNorman,Rep. Ralph Norman,Ralph Norman,R,22374,1341,27603,86241,20.583892617449663,64.31096196868009
TomRooney,Tom Rooney,Tom Rooney,R,22747,182,1209,2833,6.642857142857143,15.565934065934066
SenMurphyOffice,Sen. Murphy Office,Chris Murphy,D,4074,589,569,1139,0.966044142614601,1.933786078098472
MarkWarnerVA,Mark Warner HQ,Mark Warner,D,16394,275,8634,27145,31.396363636363635,98.7090909090909
farenthold,Blake Farenthold,Blake Farenthold,R,14828,928,3086,8897,3.3254310344827585,9.587284482758621
SenAlexander,Lamar Alexander,Lamar Alexander,R,132450,4426,62239,256171,14.062132851333033,57.87867148666968
PramilaJayapal,Pramila Jayapal,Pramila Jayapal,D,223140,2878,247420,1220572,85.9694232105629,424.1042390548992
RepTenney,Congresswoman Tenney,Claudia Tenney,R,10217,1411,4041,12066,2.86392629340893,8.551381998582565
RepPressley,Congresswoman Ayanna Pressley,Ayanna Pressley,D,547186,1325,248025,1160728,187.18867924528303,876.0211320754717
GroundworkProj,Groundwork Project,Ro Khanna,D,99347,1403,138867,614991,98.97861724875267,438.3399857448325
WeberforTexas,Randy Weber,Randy Weber,R,1249,113,39,146,0.34513274336283184,1.2920353982300885
SeanDuffyWI,Sean Duffy,Sean Duffy,R,52099,2455,36267,180779,14.772708757637474,73.63706720977596
HornForCongress,Kendra Horn,Kendra Horn,D,10537,796,5148,30457,6.467336683417085,38.26256281407035
RepChuyGarcia,Congressman Chuy Garcia,"Jesus ""Chuy"" Garcia",D,18163,1273,13188,40692,10.359780047132757,31.965435978004713
MarioDB,Mario Diaz-Balart,Mario Diaz-Balart,R,69342,3106,212292,301342,68.34900193174501,97.0193174500966
rickallen,Rick W. Allen,Rick W. Allen,R,4369,176,218,381,1.2386363636363635,2.164772727272727
RepMcNerney,Jerry McNerney,Jerry McNerney,D,31941,821,6455,16559,7.862362971985384,20.169305724725945
DavidSchweikert,David Schweikert,David Schweikert,R,5544,11,24,59,2.1818181818181817,5.363636363636363
RepDougCollins,Doug Collins,Doug Collins,R,497583,1936,1156698,3763058,597.4679752066115,1943.728305785124
TeamJoeWilson,Team Joe Wilson,Joe Wilson,R,18278,42,1823,2068,43.404761904761905,49.23809523809524
VoteForTrey,Trey Hollingsworth,Trey Hollingsworth,R,1199,42,511,870,12.166666666666666,20.714285714285715
RepByrne,Archive: Rep. Bradley Byrne,Bradley Byrne,R,28258,5190,64572,192461,12.441618497109827,37.08304431599229
maziehirono,Senator Mazie Hirono,Mazie Hirono,D,504783,1483,1095918,3612443,738.9871881321645,2435.9022252191503
RepMoolenaar,Rep. John Moolenaar,John Moolenaar,R,15423,235,492,1685,2.0936170212765957,7.170212765957447
SenDuckworth,Tammy Duckworth,Tammy Duckworth,D,762774,4878,1623601,5956667,332.84153341533414,1221.1289462894629
repcleaver,Rep. Emanuel Cleaver,Emanuel Cleaver,D,50686,3121,72359,187395,23.18455623197693,60.043255366869595
SMurphyCongress,Stephanie Murphy,Stephanie Murphy,D,10813,644,7347,25571,11.408385093167702,39.70652173913044
SamsPressShop,Sam Johnson,Sam Johnson,R,10952,334,277,683,0.8293413173652695,2.0449101796407185
FrankPallone,Rep. Frank Pallone,Frank Pallone,D,44673,7067,73649,164198,10.421536719966038,23.234470072166406
HarleyRouda,Harley Rouda,Harley Rouda,D,78287,2523,663437,1444232,262.9556084026952,572.426476416964
RepWebster,Daniel Webster,Daniel Webster,R,25951,519,2718,7978,5.236994219653179,15.371868978805395
RepSteveStivers,Archive: Steve Stivers,Steve Stivers,R,36085,820,13164,53015,16.053658536585367,64.65243902439025
GoDutchForMD,Dutch for Congress,Dutch Ruppersberger,D,309,53,42,142,0.7924528301886793,2.6792452830188678
JohnMShimkus,John Shimkus,John Shimkus,R,639,1,1,1,1.0,1.0
RepWexton,Rep. Jennifer Wexton,Jennifer Wexton,D,31578,1946,64935,242119,33.368448098663926,124.41880781089414
RepPerlmutter,Rep. Ed Perlmutter,Ed Perlmutter,D,36490,2944,34156,98083,11.601902173913043,33.31623641304348
KatieHill4CA,Katie Hill,Katie Hill,D,217229,3126,463076,2845336,148.13691618682023,910.2162507997441
SenatorLankford,Sen. James Lankford,James Lankford,R,110857,2857,105301,371607,36.857192859642986,130.06895344767238
USRepKeating,Congressman Bill Keating,Bill Keating,D,21483,395,6780,19100,17.164556962025316,48.35443037974684
Tom_Suozzi,Tom Suozzi,Thomas Suozzi,D,5564,375,662,2846,1.7653333333333334,7.589333333333333
ErikPaulsen,Erik Paulsen,Erik Paulsen,R,17999,1185,5977,20549,5.043881856540084,17.340928270042195
Armstrong_ND,Kelly Armstrong,Kelly Armstrong,R,2195,253,718,5050,2.8379446640316206,19.960474308300395
SenatorIsakson,Johnny Isakson,Johnny Isakson,R,67258,3163,38451,133714,12.15649699652229,42.27442301612393
NitaLowey,Archive: Nita Lowey,Nita Lowey,D,39507,2049,27862,75137,13.59785261102977,36.67008296730112
willhurd_,Will Hurd,Will Hurd,R,5337,67,271,1095,4.044776119402985,16.34328358208955
RepChrisPappas,Rep. Chris Pappas,Chris Pappas,D,13641,1243,9172,38192,7.378921962992759,30.72566371681416
TedBuddNC,Ted Budd,Ted Budd,R,4047,645,2907,8494,4.506976744186047,13.168992248062015
JeffMerkley,Jeff Merkley,Jeff Merkley,D,109765,2340,1012439,2565666,432.66623931623934,1096.4384615384615
SenThadCochran,Senator Thad Cochran,Thad Cochran,R,68110,344,5657,23301,16.444767441860463,67.73546511627907
Grace4NY,Grace Meng,Grace Meng,D,45751,4437,83262,359022,18.765382014874916,80.91548343475321
larsenrick,Rick Larsen,Rick Larsen,D,3440,425,333,901,0.7835294117647059,2.12
CharlieCrist,Charlie Crist,Charlie Crist,D,53918,457,8202,33593,17.947483588621445,73.50765864332604
RepChuck,Chuck Fleischmann,Chuck Fleischmann,R,22994,1344,21248,71001,15.80952380952381,52.828125
RoyBlunt,Senator Roy Blunt,Roy Blunt,R,126022,4017,39711,147204,9.885735623599702,36.64525765496639
StewartforUtah,Chris Stewart,Chris Stewart,R,2964,239,296,1162,1.2384937238493723,4.861924686192468
RepJimmyPanetta,Rep. Jimmy Panetta,Jimmy Panetta,D,14402,2664,14830,53053,5.566816816816817,19.91478978978979
RepAnnieKuster,Ann McLane Kuster,Ann McLane Kuster,D,23936,3079,24482,86176,7.951282884053264,27.988307892172784
JudgeJohnCarter,John Carter,John Carter,R,6333,1576,4308,12059,2.733502538071066,7.651649746192893
RepDean,Congresswoman Madeleine Dean,Madeleine Dean,D,70742,1193,98835,318184,82.84576697401509,266.70913663034366
CongressmanRaja,Congressman Raja Krishnamoorthi,Raja Krishnamoorthi,D,152885,4007,116203,349128,29.0,87.12952333416521
NormaJTorres,Rep. Norma Torres,Norma Torres,D,56797,3310,81108,213040,24.50392749244713,64.36253776435045
NydiaVelazquez,Rep. Nydia Velazquez,Nydia Velazquez,D,79193,5325,174603,507710,32.78929577464789,95.34460093896713
TeamCalvert,Ken Calvert,Ken Calvert,R,854,100,261,833,2.61,8.33
SheldonforRI,Sheldon Whitehouse,Sheldon Whitehouse,D,8596,308,1364,4779,4.428571428571429,15.516233766233766
lisamurkowski,Sen. Lisa Murkowski,Lisa Murkowski,R,322191,4709,113656,620614,24.13590995965173,131.79316203015503
RepTipton,Rep. Scott Tipton,Scott Tipton,R,25697,1045,9022,16819,8.633492822966508,16.094736842105263
gregsteube,Greg Steube,Greg Steube,R,8193,79,2279,3882,28.848101265822784,49.139240506329116
SenBooker,Sen. Cory Booker,Cory Booker,D,182025,2049,637961,1670126,311.3523670082967,815.0932162030259
FrankLoBiondoNJ,Frank LoBiondo,Frank LoBiondo,R,15711,1249,5133,19765,4.10968775020016,15.824659727782226
RepOHalleran,Rep. Tom O'Halleran,Tom O'Halleran,D,17194,3712,20010,52925,5.390625,14.2578125
RepRooney,Francis Rooney,Francis Rooney,R,12722,687,2472,7740,3.5982532751091703,11.266375545851528
RepGregoryMeeks,Rep. Gregory Meeks,Gregory Meeks,D,48108,2276,19572,47394,8.599297012302285,20.823374340949034
HawleyMO,Josh Hawley,Josh Hawley,R,664264,2433,1046139,2494426,429.9790382244143,1025.2470201397452
RepWilson,Rep Frederica Wilson,Frederica Wilson,D,75370,5587,281482,792413,50.381600143189544,141.83157329514947
ColPaulCookRet,Col. Paul Cook (Ret.),Paul Cook,R,18224,105,887,2284,8.447619047619048,21.752380952380953
SenatorTomUdall,Archive: Senator Tom Udall,Tom Udall,D,174129,3939,303107,734070,76.95024117796395,186.35948210205635
DavidRouzer,David Rouzer,David Rouzer,R,2873,190,180,379,0.9473684210526315,1.9947368421052631
SenHawleyPress,Senator Hawley Press Office,Josh Hawley,R,40987,1041,147460,218010,141.65225744476464,209.4236311239193
RepDarrenSoto,Rep. Darren Soto,Darren Soto,D,21617,2195,24800,56932,11.298405466970387,25.937129840546696
RajaForCongress,Raja Krishnamoorthi,Raja Krishnamoorthi,D,3416,247,545,1555,2.2064777327935223,6.295546558704453
TeamPelosi,Nancy Pelosi,Nancy Pelosi,D,814135,2443,4138018,11760296,1693.826442898076,4813.8747441670075
Jim_Banks,Jim Banks,Jim Banks,R,7994,816,3366,15775,4.125,19.332107843137255
RepDavidKustoff,Rep. David Kustoff,David Kustoff,R,12947,1690,15821,63613,9.361538461538462,37.640828402366864
RepAnnWagner,Ann Wagner,Ann Wagner,R,27623,1319,24009,85372,18.202426080363914,64.72479150871872
RepTomGraves,Tom Graves,Tom Graves,R,22972,1320,9094,23035,6.88939393939394,17.450757575757574
RepLouBarletta,Lou Barletta,Lou Barletta,R,25230,1091,20648,62821,18.92575618698442,57.58111824014665
SenatorBaldwin,Sen. Tammy Baldwin,Tammy Baldwin,D,138138,5290,264628,690229,50.024196597353495,130.4780718336484
DennisRossSEU,Dennis Ross,Dennis A. Ross,R,17430,535,2652,7344,4.9570093457943925,13.727102803738317
SenBillCassidy,"U.S. Senator Bill Cassidy, M.D.",Bill Cassidy,R,41395,1517,92430,331037,60.92946605141727,218.21819380355964
RepHagedorn,Congressman Jim Hagedorn,Jim Hagedorn,R,7327,779,3949,10024,5.069319640564827,12.86777920410783
DerekKilmer,Derek Kilmer,Derek Kilmer,D,2218,243,276,693,1.1358024691358024,2.8518518518518516
RepMarkTakano,Mark Takano,Mark Takano,D,58870,2208,411033,894170,186.15625,404.96829710144925
RepCarolMiller,Rep. Carol Miller,Carol Miller,R,10163,621,10533,39290,16.96135265700483,63.268921095008054
Ilhan,Rep. Ilhan Omar,Ilhan Omar,D,1281853,1623,1107172,5598771,682.1762168823167,3449.6432532347503
mlfudge,Marcia L. Fudge,Marcia Fudge,D,34337,33,306,586,9.272727272727273,17.757575757575758
RepFrenchHill,French Hill,French Hill,R,21268,1996,35476,70948,17.773547094188377,35.545090180360724
SenBobCasey,Senator Bob Casey,Bob Casey Jr.,D,435603,5413,1363251,3339761,251.84758913726213,616.988915573619
ReElectCohen,Cohen for Congress,Steve Cohen,D,1167,95,152,285,1.6,3.0
DunnCampaign,Dr. Neal Dunn,Neal Dunn,R,1473,68,194,372,2.8529411764705883,5.470588235294118
RepCharlieDent,Charlie Dent,Charlie Dent,R,21775,362,8367,33610,23.113259668508288,92.84530386740332
RosLehtinen,Ileana Ros-Lehtinen,Ileana Ros-Lehtinen,R,134817,6856,512939,675040,74.81607351225205,98.45974329054843
RepJaredPolis,Former Rep. Jared Polis,Jared Polis,D,15539,830,12540,37862,15.108433734939759,45.616867469879516
brianschatz,Brian Schatz,Brian Schatz,D,383823,5294,4280215,21113764,808.5030222893843,3988.2440498677747
SenAngusKing,Senator Angus King,Angus King,D,244308,2170,127928,480709,58.952995391705066,221.52488479262672
CollinsforGA,Doug Collins,Doug Collins,R,31812,280,18312,54285,65.4,193.875
MarioDBCamp,Mario Diaz-Balart,Mario Diaz-Balart,R,2423,157,256,817,1.6305732484076434,5.203821656050955
RepLoriTrahan,Congresswoman Lori Trahan,Lori Trahan,D,29265,3074,33407,154415,10.867599219258295,50.23259596616786
RepYvetteClarke,Yvette D. Clarke,Yvette Clarke,D,87189,3741,103678,281395,27.71398021919273,75.21919272921679
CartwrightPA,Matt Cartwright,Matt Cartwright,D,2780,110,775,1462,7.045454545454546,13.290909090909091
GKButterfield,G. K. Butterfield,G. K. Butterfield,D,22968,2454,38145,81900,15.5440097799511,33.37408312958435
RepJBridenstine,Jim Bridenstine,Jim Bridenstine,R,17891,13,472,1395,36.30769230769231,107.3076923076923
RepSanfordSC,Mark Sanford (Archived),Mark Sanford,R,11229,962,9956,35001,10.349272349272349,36.38357588357589
Robert_Aderholt,Robert Aderholt,Robert Aderholt,R,30981,672,10925,30106,16.257440476190474,44.80059523809524
DrRandPaul,Rand Paul,Rand Paul,R,71118,247,14141,43868,57.25101214574899,177.60323886639677
WelchForVT,Rep. Peter Welch,Peter Welch,D,2238,40,73,380,1.825,9.5
LtGovDennyHeck,Denny Heck,Denny Heck,D,37593,1953,39867,145636,20.41321044546851,74.57040450588838
PeteOlson,Pete Olson,Pete Olson,R,11799,755,2532,3911,3.35364238410596,5.180132450331126
GovRonDeSantis,Ron DeSantis,Ron DeSantis,R,1178251,462,182039,509726,394.0238095238095,1103.3030303030303
JohnSarbanes,John Sarbanes,John Sarbanes,D,5408,143,181,620,1.2657342657342658,4.335664335664336
chuck4congress,Chuck Fleischmann,Chuck Fleischmann,R,2337,374,710,1990,1.8983957219251337,5.320855614973262
RepElaineLuria,Rep. Elaine Luria,Elaine Luria,D,32099,1787,15999,69111,8.952993844432008,38.67431449356463
RepRWilliams,Rep. Roger Williams,Roger Williams,R,16444,2866,19836,60673,6.9211444521981855,21.169923237962315
MikieSherrill,Mikie Sherrill,Mikie Sherrill,D,49854,1690,63363,253506,37.492899408284025,150.003550295858
StaceyPlaskett,Rep. Stacey Plaskett,Stacey Plaskett,D,277263,991,29656,163177,29.92532795156408,164.65893037336025
RepScottPerry,RepScottPerry,Scott Perry,R,34411,784,27754,82179,35.400510204081634,104.82015306122449
RepRaulRuizMD,Raul Ruiz,Raul Ruiz,D,26899,1556,15105,54555,9.70758354755784,35.061053984575835
JudgeTedPoe,Ted Poe,Ted Poe,R,29649,1258,14212,27147,11.297297297297296,21.579491255961845
VP,Vice President Kamala Harris,Kamala Harris,D,11140285,4366,7323867,23100787,1677.4775538250115,5291.064360971141
SenatorLujan,Ben Ray Lujan,Ben Ray Lujan,D,32323,2700,35770,106070,13.248148148148148,39.285185185185185
JimHagedornMN,Jim Hagedorn,Jim Hagedorn,R,3656,759,3094,6095,4.076416337285902,8.030303030303031
Vote4Cleaver,Cleaver For Congress ,Emanuel Cleaver,D,1176,715,1001,2828,1.4,3.955244755244755
ToddRokita,Todd Rokita (Archived),Todd Rokita,R,18812,901,9071,33862,10.0677025527192,37.5826859045505
amyklobuchar,Amy Klobuchar,Amy Klobuchar,D,1742431,6260,3171379,15764735,506.61006389776355,2518.3282747603835
RepBrianBabin,Brian Babin,Brian Babin,R,23055,1484,20350,54354,13.712938005390836,36.6266846361186
CapitoforWV,Capito for WV,Shelley Moore Capito,R,5788,207,1074,5517,5.188405797101449,26.652173913043477
SenPatRoberts,Senator Pat Roberts,Pat Roberts,R,86282,1778,20227,77488,11.376265466816648,43.58155230596176
SenTedCruz,Senator Ted Cruz,Ted Cruz,R,2215323,5941,1221677,4216269,205.63490994782023,709.6901195085003
Liz_Cheney,Liz Cheney,Liz Cheney,R,224182,630,286634,1060364,454.97460317460315,1683.1174603174604
RepBuddyCarter,Buddy Carter,Buddy Carter,R,30615,1172,18710,51590,15.964163822525597,44.01877133105802
SenRubioPress,Senator Rubio Press,Marco Rubio,R,137701,5708,684546,1035361,119.92747021723896,181.38770147161878
RepWesterman,Rep. Bruce Westerman,Bruce Westerman,R,11536,2047,8470,23282,4.137762579384465,11.37371763556424
StevenHorsford,Steven Horsford,Steven Horsford,D,12604,564,6326,19883,11.21631205673759,35.25354609929078
votetimscott,Tim Scott,Tim Scott,R,32137,4,359,1605,89.75,401.25
RepTimRyan,Congressman Tim Ryan,Tim Ryan,D,139968,3809,208399,777779,54.712260435809924,204.19506432134418
RepDelBene,Rep. Suzan DelBene,Suzan DelBene,D,30235,3047,29794,89936,9.778142435182147,29.51624548736462
tomemmer,Tom Emmer,Tom Emmer,R,10881,932,2668,10138,2.8626609442060085,10.877682403433477
RepSheaPorter,Rep. Shea-Porter,Carol Shea-Porter,D,6533,759,5304,13342,6.988142292490118,17.578392621870883
RepLBR,Rep. Lisa Blunt Rochester,Lisa Blunt Rochester,D,23057,1267,21395,84786,16.886345698500396,66.91870560378848
LloydDoggettTX,Rep. Lloyd Doggett,Lloyd Doggett,D,3666,586,1072,2627,1.8293515358361774,4.482935153583618
womack4congress,Steve Womack,Steve Womack,R,2144,107,87,385,0.8130841121495327,3.5981308411214954
RepMaloney,Carolyn B. Maloney,Carolyn Maloney,D,75712,8272,163452,495808,19.759671179883945,59.93810444874275
Tcardenas,#TonyCardenas,Tony Cardenas,D,1085,252,424,1217,1.6825396825396826,4.829365079365079
PaulTonko,Paul D. Tonko,Paul Tonko,D,2960,3324,3205,5640,0.9641997593261131,1.6967509025270757
electadamsmith,Adam Smith,Adam Smith,D,1092,339,438,1972,1.2920353982300885,5.817109144542773
kevinomccarthy,Kevin McCarthy,Kevin McCarthy,R,68648,86,29592,118262,344.09302325581393,1375.139534883721
RepMaxRose,Archived: Rep. Max Rose,Max Rose,D,23934,960,16114,77305,16.785416666666666,80.52604166666667
JasonSmithMO,Jason Smith,Jason T. Smith,R,12437,2055,7643,30177,3.719221411192214,14.684671532846716
MurrayCampaign,Senator Patty Murray,Patty Murray,D,20111,3252,44837,124166,13.78751537515375,38.18142681426814
RepEliotEngel,Eliot Engel,Eliot Engel,D,54492,1972,52898,136394,26.824543610547668,69.16531440162272
RepKihuen,Rep. Ruben J. Kihuen,Ruben Kihuen,D,9898,2074,66764,150551,32.19093539054966,72.58968177434909
RepGolden,Congressman Jared Golden,Jared Golden,D,15249,634,4194,18472,6.615141955835962,29.13564668769716
mattgaetz,Matt Gaetz,Matt Gaetz,R,1095552,2732,969916,4032945,355.02049780380673,1476.1877745241582
JeffFlake,Jeff Flake,Jeff Flake,R,689302,847,789317,3523599,931.8972845336482,4160.093270365997
RepCuellar,Rep. Henry Cuellar,Henry Cuellar,D,28710,1700,7014,21353,4.125882352941177,12.560588235294118
SenJohnBarrasso,Sen. John Barrasso,John Barrasso,R,152210,981,66128,258869,67.40876656472987,263.8827726809378
JohnGaramendi,John Garamendi,John Garamendi,D,3914,59,91,194,1.5423728813559323,3.288135593220339
RonEstesKS,Ron Estes,Ron Estes,R,1557,206,953,2313,4.62621359223301,11.228155339805825
RepMarkGreen,Rep. Mark Green,Mark E. Green,R,48984,1405,178226,539465,126.85124555160142,383.9608540925267
GuestCongress,Michael Guest,Michael Guest,R,2009,562,1742,8003,3.099644128113879,14.240213523131672
AnnLWagner,Ann Wagner,Ann Wagner,R,5446,345,1092,4085,3.1652173913043478,11.840579710144928
CoopForCongress,Jim Cooper,Jim Cooper,D,2049,92,297,2695,3.2282608695652173,29.293478260869566
SenStabenow,Sen. Debbie Stabenow,Debbie Stabenow,D,138428,2685,191806,713269,71.43612662942272,265.64953445065174
RepGraceMeng,Grace Meng,Grace Meng,D,47090,2060,35038,136990,17.00873786407767,66.5
RussFulcher,Russ Fulcher,Russ Fulcher,R,3361,227,443,1535,1.9515418502202644,6.762114537444934
braun4indiana,Mike Braun,Mike Braun,R,14562,556,38490,115117,69.22661870503597,207.04496402877697
DesJarlaisTN04,Scott DesJarlais,Scott DesJarlais,R,21389,1368,11854,28853,8.665204678362572,21.091374269005847
ReElectNydia,Nydia M Velazquez,Nydia Velazquez,D,5183,2824,15119,59780,5.353753541076487,21.1685552407932
DelgadoforNY19,Antonio Delgado,Antonio Delgado,D,29811,3843,66498,324283,17.30366900858704,84.38277387457715
RepJenniffer,Jenniffer Gonzalez,Jenniffer Gonzalez,R,30833,4928,69000,150130,14.001623376623376,30.464691558441558
RepEBJ,Rep. Eddie Bernice Johnson,Eddie Bernice Johnson,D,38272,1202,10762,28013,8.953410981697171,23.30532445923461
RepClayHiggins,Rep. Clay Higgins,Clay Higgins,R,24614,745,7632,22780,10.244295302013423,30.57718120805369
