twitter_account,twitter_user,full_name,party
davidcicilline,David Cicilline,David Cicilline,D
CisnerosFndn,The Gilbert & Jacki Cisneros Foundation,Gil Cisneros,D
TulsiGabbard,Tulsi Gabbard ,Tulsi Gabbard,D
joniernst,Joni Ernst,Joni Ernst,R
RepKirkpatrick,Rep. Ann Kirkpatrick,Ann Kirkpatrick,D
RepTomPrice,Tom Price,Tom Price,R
SenatorCarper,Senator Tom Carper,Tom Carper,D
SteveScaliseGOP,Steve Scalise,Steve Scalise,R
SenWhitehouse,Sheldon Whitehouse,Sheldon Whitehouse,D
tedlieu,Ted Lieu,Ted Lieu,D
teammoulton,TeamMoulton,Mo Brooks,R
RepKatiePorter,Rep. Katie Porter,Katie Porter,D
RepGonzalez,Rep. Vicente Gonzalez,Vicente Gonzalez,D
SenatorCollins,Sen. Susan Collins,Susan Collins,R
PeteStauber,Pete Stauber,Pete Stauber,R
RepFilemonVela,US Rep. Filemon Vela,Filemon Vela Jr.,D
repgregwalden,Archive: Rep. Greg Walden,Greg Walden,R
TomOHalleran,Tom O'Halleran,Tom O'Halleran,D
RepRichmond,Rep Cedric Richmond,Cedric Richmond,D
USRepKCastor,US Rep Kathy Castor,Kathy Castor,D
RepKClark,Katherine Clark,Katherine Clark,D
RepStefanik,Rep. Elise Stefanik,Elise Stefanik,R
RepSires,Albio Sires,Albio Sires,D
RepKevinBrady,Rep. Kevin Brady,Kevin Brady,R
BradSherman4SFV,Brad Sherman,Brad Sherman,D
LindseyGrahamSC,Lindsey Graham,Lindsey Graham,R
RepDavid,Rep. David Schweikert,David Schweikert,R
RepHuffman,Rep. Jared Huffman,Jared Huffman,D
USRepMikeDoyle,Mike Doyle,Mike Doyle,D
MarkPocan,Mark Pocan,Mark Pocan,D
jasoninthehouse,Jason Chaffetz,Jason Chaffetz,R
VoteMarsha,Marsha Blackburn,Marsha Blackburn,R
repdavidscott,Rep. David Scott,David Scott,D
RepSchakowsky,Jan Schakowsky,Jan Schakowsky,D
RepJoeBarton,Joe Barton,Joe Barton,R
RepAnnaEshoo,Rep. Anna G. Eshoo,Anna Eshoo,D
TXRandy14,Randy Weber,Randy Weber,R
SpeakerPelosi,Nancy Pelosi,Nancy Pelosi,D
BLeeForCongress,Barbara Lee,Barbara Lee,D
BradleyByrne,Bradley Byrne,Bradley Byrne,R
JimmyGomezCA,Jimmy Gomez,Jimmy Gomez,D
EspaillatNY,Adriano Espaillat,Adriano Espaillat,D
RepEdCase,Rep. Ed Case,Ed Case,D
SenJohnThune,Senator John Thune,John Thune,R
JerryMoran,Senator Jerry Moran,Jerry Moran,R
DebDingell,Debbie Dingell,Debbie Dingell,D
garretgraves,Garret Graves,Garret Graves,R
RepBarragan,Nanette D. Barragan,Nanette Barragan,D
RepMarkWalker,Mark Walker,Mark Walker,R
CheriBustos,Cheri Bustos,Cheri Bustos,D
Matsui4Congress,Matsui for Congress,Doris Matsui,D
SenDeanHeller,Dean Heller,Dean Heller,R
repsandylevin,Rep. Sandy Levin,Andy Levin,D
DianneFeinstein,Dianne Feinstein,Dianne Feinstein,D
tammybaldwin,Tammy Baldwin,Tammy Baldwin,D
DebbieforFL,Debbie Mucarsel-Powell,Debbie Mucarsel-Powell,D
GrassleyPress,Sen. Grassley Press,Chuck Grassley,R
SenatorRounds,Senator Mike Rounds,Mike Rounds,R
BobMenendezNJ,Menendez for NJ,Bob Menendez,D
RepMikeQuigley,Mike Quigley,Mike Quigley,D
EliseStefanik,Elise Stefanik,Elise Stefanik,R
KindforCongress,Ron Kind,Ron Kind,D
HoulahanForPa,Chrissy Houlahan,Chrissy Houlahan,D
ericswalwell,Eric Swalwell,Eric Swalwell,D
RepDavidValadao,Rep. David Valadao,David Valadao,R
CongressmanHice,Rep. Jody Hice,Jody Hice,R
BennieGThompson,Bennie G. Thompson,Bennie Thompson,D
ClyburnSC06,Jim Clyburn SC-06,Jim Clyburn,D
DanaRohrabacher,Dana Rohrabacher,Dana Rohrabacher,R
RepBeatty,Joyce Beatty,Joyce Beatty,D
RepCummings,Elijah E. Cummings,Elijah Cummings,D
LaurenUnderwood,Lauren Underwood,Lauren Underwood,D
RepKatieHill,Rep. Katie Hill,Katie Hill,D
RepMGS,Congresswoman Mary Gay Scanlon,Mary Gay Scanlon,D
marcorubio,Marco Rubio,Marco Rubio,R
SenTinaSmith,Senator Tina Smith,Tina Smith,D
RepBonamici,Suzanne Bonamici,Suzanne Bonamici,D
RepGregSteube,Congressman Greg Steube,Greg Steube,R
RepLloydDoggett,Lloyd Doggett,Lloyd Doggett,D
RepDebHaaland,Rep. Deb Haaland,Deb Haaland,D
PatToomey,Pat Toomey,Pat Toomey,R
RepJayapal,Rep. Pramila Jayapal,Pramila Jayapal,D
ElaineLuriaVA,Elaine Luria,Elaine Luria,D
RepJahanaHayes,Jahana Hayes,Jahana Hayes,D
McGovernMA,Jim McGovern,Jim McGovern,D
GregPenceIN,Greg Pence,Greg Pence,R
ColinAllredTX,Colin Allred,Colin Allred,D
RepBrownley,Congresswoman Julia Brownley,Julia Brownley,D
MikeSimpson4ID,Mike Simpson,Mike Simpson,R
CongBoyle,Rep. Brendan Boyle,Brendan Boyle,D
RepJeffDuncan,Rep. Jeff Duncan,Jeff Duncan,R
Bob_Casey,Bob Casey Jr.,Bob Casey Jr.,D
RepGilCisneros,Rep. Gil Cisneros,Gil Cisneros,D
RepBrianMast,Rep. Brian Mast,Brian Mast,R
RashidaTlaib,Rashida Tlaib,Rashida Tlaib,D
BenCardinforMD,Ben Cardin,Ben Cardin,D
keithellison,Keith Ellison,Keith Ellison,D
kyrstensinema,Kyrsten Sinema,Kyrsten Sinema,D
DanCrenshawTX,Dan Crenshaw,Dan Crenshaw,R
SenMarkey,Ed Markey,Ed Markey,D
MarkwayneMullin,Markwayne Mullin,Markwayne Mullin,R
RepPoliquin,Rep. Bruce Poliquin,Bruce Poliquin,R
RepDavidEPrice,Rep. David E. Price,David Price,D
RepMaxineWaters,Maxine Waters,Maxine Waters,D
TeamVisclosky,Pete Visclosky,Pete Visclosky,D
RepHensarling,Archive: Rep. Jeb Hensarling,Jeb Hensarling,R
RepRussFulcher,Rep. Russ Fulcher,Russ Fulcher,R
carloslcurbelo,Carlos Curbelo,Carlos Curbelo,R
WillHurd,Will Hurd,Will Hurd,R
RepAbraham,Rep. Ralph Abraham,Ralph Abraham,R
RepKenBuck,Rep. Ken Buck,Ken Buck,R
RubenGallego,Ruben Gallego,Ruben Gallego,D
RepAndyBarr,Rep. Andy Barr,Andy Barr,R
MacThornberry,Mac Thornberry,Mac Thornberry,R
SenSasse,Senator Ben Sasse,Ben Sasse,R
WhipClyburn,James E. Clyburn,Jim Clyburn,D
RepHoulahan,Chrissy Houlahan,Chrissy Houlahan,D
DonJBacon,Don Bacon,Don Bacon,R
tedcruz,Ted Cruz,Ted Cruz,R
RepHorsford,Rep. Steven Horsford,Steven Horsford,D
RepJohnYarmuth,Rep. John Yarmuth,John Yarmuth,D
UptonForAllOfUs,Fred Upton,Fred Upton,R
jahimes,Jim Himes,Jim Himes,D
MikeKellyforPA,Mike Kelly for Congress,Mike Kelly,R
VickyHartzlerMO,Vicky Hartzler,Vicky Hartzler,R
RepJoeCourtney,Rep. Joe Courtney,Joe Courtney,D
RepFinkenauer,ARCHIVED Congresswoman Abby Finkenauer,Abby Finkenauer,D
MichaelJCloud,Michael Cloud,Michael Cloud,R
rosadelauro,Rosa DeLauro,Rosa DeLauro,D
tndesjarlais,Scott DesJarlais,Scott DesJarlais,R
RepAndyKimNJ,The Office of Congressman Andy Kim,Andy Kim,D
SenDougJones,Archived: Senator Doug Jones,Doug Jones,D
KathleenRice,Kathleen Rice,Kathleen Rice,D
SenatorBennet,Michael Bennet,Michael Bennet,D
RepJudyChu,Judy Chu,Judy Chu,D
RepJohnCurtis,Rep. John Curtis,John Curtis,R
RepChrisStewart,Rep. Chris Stewart,Chris Stewart,R
lucymcbath,Lucy McBath,Lucy McBath,D
RepRonEstes,Rep. Ron Estes,Ron Estes,R
SenatorMenendez,Senator Bob Menendez,Bob Menendez,D
RepAlGreen,Congressman Al Green,Al Green,D
krhern,Kevin Hern,Kevin Hern,R
RepBonnie,Rep. Bonnie Watson Coleman,Bonnie Watson Coleman,D
SuzanDelBene,Suzan DelBene,Suzan DelBene,D
golden4congress,Jared Golden for Congress,Jared Golden,D
RossSpano,Ross Spano,Ross Spano,R
RepLouCorrea,Rep. Lou Correa,Lou Correa,D
aguilarpete,Pete Aguilar,Pete Aguilar,D
RepMcEachin,Rep. Donald McEachin,Donald McEachin,D
RepZoeLofgren,Rep. Zoe Lofgren,Zoe Lofgren,D
Ed4Colorado,Ed Perlmutter,Ed Perlmutter,D
RepRiggleman,Denver Riggleman,Denver Riggleman,R
AlLawsonJr,Al Lawson,Al Lawson,D
RepJasonSmith,Rep. Jason Smith,Jason T. Smith,R
KarenBassTweets,Karen Bass,Karen Bass,D
RepShimkus,Archive: Rep. John Shimkus,John Shimkus,R
RepHartzler,Rep. Vicky Hartzler,Vicky Hartzler,R
gracenapolitano,Rep.Grace Napolitano,Grace Napolitano,D
VernBuchanan,Rep. Vern Buchanan,Vern Buchanan,R
RepDMP,Rep. Debbie Mucarsel-Powell,Debbie Mucarsel-Powell,D
ChrisPappasNH,Chris Pappas,Chris Pappas,D
TedDeutch,Ted Deutch,Ted Deutch,D
RepComstock,Barbara Comstock,Barbara Comstock,R
RepJimCosta,Rep. Jim Costa,Jim Costa,D
SenMikeLee,Mike Lee,Mike Lee,R
RepMattGaetz,Rep. Matt Gaetz,Matt Gaetz,R
SenJackyRosen,Senator Jacky Rosen,Jacky Rosen,D
TeamCMR,Cathy McMorris Rodgers,Cathy McMorris Rodgers,R
RepRussell,Rep. Steve Russell,Steve Russell,R
GOPLeader,Kevin McCarthy,Kevin McCarthy,R
DeGette5280,Diana DeGette,Diana DeGette,D
RepCartwright,Matt Cartwright,Matt Cartwright,D
RepAlexMooney,Rep. Alex Mooney,Alex Mooney,R
RepVisclosky,Rep. Pete Visclosky,Pete Visclosky,D
RepAndyBiggsAZ,Rep Andy Biggs,Andy Biggs,R
RepDerekKilmer,Rep. Derek Kilmer,Derek Kilmer,D
RepHultgren,Rep. Randy Hultgren,Randy Hultgren,R
Higgins4WNY,Higgins for Congress,Brian Higgins,D
VanHollenForMD,Chris Van Hollen,Chris Van Hollen,D
Jim_Jordan,Rep. Jim Jordan,Jim Jordan,R
latta4congress,Bob Latta,Bob Latta,R
BillPascrell,"Bill Pascrell, Jr.",Bill Pascrell,D
SenTomCotton,Tom Cotton,Tom Cotton,R
LuetkemeyerB,Blaine Luetkemeyer,Blaine Luetkemeyer,R
RepJohnRose,John Rose,John Rose,R
McHenryCampaign,McHenry for Congress,Henry Cuellar,D
RepJohnConyers,"John Conyers, Jr.",John Conyers,D
RepRoKhanna,Rep. Ro Khanna,Ro Khanna,D
RepDLesko,Congresswoman Debbie Lesko,Debbie Lesko,R
SenWarren,Elizabeth Warren,Elizabeth Warren,D
RepMikeJohnson,Rep. Mike Johnson,Mike Johnson,R
RepBost,Rep. Mike Bost,Mike Bost,R
RepAnthonyBrown,Anthony Brown,Anthony G. Brown,D
RepSarbanes,Rep. John Sarbanes,John Sarbanes,D
MarcVeasey,Marc Veasey,Marc Veasey,D
ElissaSlotkin,Elissa Slotkin,Elissa Slotkin,D
JohnnyIsakson,Johnny Isakson,Johnny Isakson,R
RepJasonCrow,Rep. Jason Crow,Jason Crow,D
lutherstrange,Luther Strange,Luther Strange,R
DevinNunes,Devin Nunes,Devin Nunes,R
RepLindaSanchez,Rep. Linda Sanchez,Linda Sanchez,D
JeanneShaheen,Jeanne Shaheen,Jeanne Shaheen,D
RepRutherfordFL,Rep. John Rutherford,John Rutherford,R
RepLucyMcBath,Rep. Lucy McBath,Lucy McBath,D
sharicedavids,Sharice Davids,Sharice Davids,D
RepBrianHiggins,Brian Higgins,Brian Higgins,D
CongPalazzo,Cong. Steven Palazzo,Steven Palazzo,R
RepJohnLarson,Rep. John Larson,John B. Larson,D
RepFletcher,Rep. Lizzie Fletcher,Lizzie Fletcher,D
RepDianaDeGette,Rep. Diana DeGette,Diana DeGette,D
USRepRickNolan,Fmr. US Rep. Rick Nolan,Rick Nolan,D
Gwen4Congress,Gwen S. Moore,Gwen Moore,D
GT_TeamGT,Team GT - Friends of Glenn Thompson,Glenn Thompson,R
PatrickMcHenry,Patrick McHenry,Patrick McHenry,R
daveloebsack,Archive: Dave Loebsack (Retired US Rep),Dave Loebsack,D
RichHudson,Richard Hudson,Richard Hudson,R
DocAbraham,Dr. Ralph Abraham,Ralph Abraham,R
DrNealDunnFL2,Dr. Neal Dunn,Neal Dunn,R
SenToomey,Senator Pat Toomey,Pat Toomey,R
RepBobbyRush,Bobby L. Rush,Bobby Rush,D
RepMichaelGuest,Congressman Michael Guest,Michael Guest,R
RepJimBaird,Congressman Jim Baird,Jim Baird,R
AustinScottGA08,Rep. Austin Scott,Austin Scott,R
Boozman4AR,John Boozman,John Boozman,R
JamesComer,James Comer,James Comer,R
GReschenthaler,Rep. Guy Reschenthaler,Guy Reschenthaler,R
RepJohnDelaney,Archive: Rep. John Delaney,John Delaney,D
RepSpeier,Jackie Speier,Jackie Speier,D
JoyceBeatty,Joyce Beatty,Joyce Beatty,D
RepSlotkin,Rep. Elissa Slotkin,Elissa Slotkin,D
RepDebDingell,Rep. Debbie Dingell,Debbie Dingell,D
RepTedBudd,Congressman Ted Budd,Ted Budd,R
DickDurbin,Dick Durbin,Dick Durbin,D
SenJackReed,Senator Jack Reed,Jack Reed,D
SanfordBishop,"Sanford Bishop, Jr.",Sanford Bishop,D
benraylujan,Ben Ray Lujan,Ben Ray Lujan,D
RepFredKeller,Congressman Fred Keller,Fred Keller,R
RepBobGibbs,Rep. Bob Gibbs,Bob Gibbs,R
RepTerriSewell,Rep. Terri A. Sewell,Terri Sewell,D
RepLaMalfa,Rep. Doug LaMalfa,Doug LaMalfa,R
SteveDaines,Steve Daines,Steve Daines,R
govkristinoem,Governor Kristi Noem,Kristi Noem,R
chiproytx,Chip Roy,Chip Roy,R
ChrisMurphyCT,Chris Murphy,Chris Murphy,D
RepWalorski,Jackie Walorski,Jackie Walorski,R
ScottforFlorida,Rick Scott,Rick Scott,R
SenatorLeahy,Sen. Patrick Leahy,Patrick Leahy,D
RepDevinNunes,Rep. Devin Nunes,Devin Nunes,R
RepMalinowski,Rep. Tom Malinowski,Tom Malinowski,D
RepLynch,Stephen F. Lynch,Stephen F. Lynch,D
SenatorTester,Senator Jon Tester,Jon Tester,D
RepKinzinger,Adam Kinzinger,Adam Kinzinger,R
BernieSanders,Bernie Sanders,Bernie Sanders,D
Denver4VA,Denver Lee Riggleman III,Denver Riggleman,R
RepJohnDuncanJr,Rep John Duncan Jr.,Jimmy Duncan,R
RepLoudermilk,Rep. Barry Loudermilk,Barry Loudermilk,R
MarkWarner,Mark Warner,Mark Warner,D
VanTaylorTX,Van Taylor,Van Taylor,R
AdamKinzinger,Adam Kinzinger,Adam Kinzinger,R
