Token,Uid,Link
KYComer,838462994,https://twitter.com/KYComer
RepJackyRosen,818554054309715969,https://twitter.com/RepJackyRosen
RepEspaillat,817076257770835968,https://twitter.com/RepEspaillat
RepTrey,811986281177772032,https://twitter.com/RepTrey
RepDwightEvans,90639372,https://twitter.com/RepDwightEvans
RogerMarshallMD,1240107944,https://twitter.com/RogerMarshallMD
USRepLong,1444015610,https://twitter.com/USRepLong
RepByrne,2253968388,https://twitter.com/RepByrne
Robert_Aderholt,76452765,https://twitter.com/Robert_Aderholt
USRepGaryPalmer,2861616083,https://twitter.com/USRepGaryPalmer
rep_stevewomack,234469322,https://twitter.com/rep_stevewomack
RepRickCrawford,233693291,https://twitter.com/RepRickCrawford
RepDeSaulnier,2968007206,https://twitter.com/RepDeSaulnier
CongressmanRuiz,1089859058,https://twitter.com/CongressmanRuiz
RepThompson,303861808,https://twitter.com/RepThompson
NormaJTorres,236279233,https://twitter.com/NormaJTorres
RepCarbajal,816157667882373120,https://twitter.com/RepCarbajal
RepAdamSchiff,29501253,https://twitter.com/RepAdamSchiff
RepSpeier,24913074,https://twitter.com/RepSpeier
RepKarenBass,239949176,https://twitter.com/RepKarenBass
RepSwalwell,942156122,https://twitter.com/RepSwalwell
KenCalvert,22545491,https://twitter.com/KenCalvert
SteveKnight25,2974648323,https://twitter.com/SteveKnight25
RepMimiWalters,47798449,https://twitter.com/RepMimiWalters
NancyPelosi,15764644,https://twitter.com/NancyPelosi
RepMcNerney,385429543,https://twitter.com/RepMcNerney
RepEdRoyce,246769138,https://twitter.com/RepEdRoyce
RepJeffDenham,248699486,https://twitter.com/RepJeffDenham
RepJimCosta,245451804,https://twitter.com/RepJimCosta
RepZoeLofgren,267938462,https://twitter.com/RepZoeLofgren
RepLindaSanchez,312134473,https://twitter.com/RepLindaSanchez
RepTedLieu,3044993235,https://twitter.com/RepTedLieu
RepDrewFerguson,806583915012046854,https://twitter.com/RepDrewFerguson
jahimes,31611298,https://twitter.com/jahimes
RepSusanDavis,432771620,https://twitter.com/RepSusanDavis
RepTedYoho,1071900114,https://twitter.com/RepTedYoho
RepHastingsFL,2433737761,https://twitter.com/RepHastingsFL
RepEsty,1060984272,https://twitter.com/RepEsty
RepDougCollins,1060487274,https://twitter.com/RepDougCollins
RepDianaDeGette,28599820,https://twitter.com/RepDianaDeGette
RosLehtinen,14275291,https://twitter.com/RosLehtinen
RepDWStweets,1140648348,https://twitter.com/RepDWStweets
AustinScottGA08,234797704,https://twitter.com/AustinScottGA08
RepJaredPolis,463132556,https://twitter.com/RepJaredPolis
RepWebster,281540744,https://twitter.com/RepWebster
RepTipton,242873057,https://twitter.com/RepTipton
DarrellIssa,22509548,https://twitter.com/DarrellIssa
RepJoeCourtney,85396297,https://twitter.com/RepJoeCourtney
congbillposey,25086658,https://twitter.com/congbillposey
RepGusBilirakis,26051676,https://twitter.com/RepGusBilirakis
RepTedDeutch,137794015,https://twitter.com/RepTedDeutch
SanfordBishop,249410485,https://twitter.com/SanfordBishop
RepLoudermilk,2914163523,https://twitter.com/RepLoudermilk
RepBuddyCarter,2973870195,https://twitter.com/RepBuddyCarter
RepCharlieCrist,816030424778543104,https://twitter.com/RepCharlieCrist
VernBuchanan,20467163,https://twitter.com/VernBuchanan
RepRobinKelly,1339931490,https://twitter.com/RepRobinKelly
RepDannyDavis,789244177,https://twitter.com/RepDannyDavis
RepWalorski,1065995022,https://twitter.com/RepWalorski
SusanWBrooks,1074101017,https://twitter.com/SusanWBrooks
RepLarryBucshon,234812598,https://twitter.com/RepLarryBucshon
RepJohnYarmuth,384913290,https://twitter.com/RepJohnYarmuth
RepRichmond,267854863,https://twitter.com/RepRichmond
RepHuizenga,233949261,https://twitter.com/RepHuizenga
RepJohnDelaney,937723303,https://twitter.com/RepJohnDelaney
RepStephenLynch,310310133,https://twitter.com/RepStephenLynch
RepDanKildee,1045110018,https://twitter.com/RepDanKildee
RepKClark,2293131060,https://twitter.com/RepKClark
RepWalberg,237862972,https://twitter.com/RepWalberg
RepMoolenaar,2696643955,https://twitter.com/RepMoolenaar
WhipHoyer,22012091,https://twitter.com/WhipHoyer
RepMikeCapuano,747806211983179776,https://twitter.com/RepMikeCapuano
RepFredUpton,124224165,https://twitter.com/RepFredUpton
RepMikeBishop,2914571740,https://twitter.com/RepMikeBishop
RepMcGovern,242426145,https://twitter.com/RepMcGovern
BettyMcCollum04,516880804,https://twitter.com/BettyMcCollum04
RepTimWalz,1262814457,https://twitter.com/RepTimWalz
keithellison,14135426,https://twitter.com/keithellison
RepLawrence,2863006655,https://twitter.com/RepLawrence
RepJasonLewis,816047090849746945,https://twitter.com/RepJasonLewis
repcleaver,163570705,https://twitter.com/repcleaver
RepJoshG,815310506596691968,https://twitter.com/RepJoshG
NydiaVelazquez,164369297,https://twitter.com/NydiaVelazquez
RepYvetteClarke,240812994,https://twitter.com/RepYvetteClarke
RepDanDonovan,3353670647,https://twitter.com/RepDanDonovan
RepSeanMaloney,1072467470,https://twitter.com/RepSeanMaloney
RepTomReed,252819323,https://twitter.com/RepTomReed
RepWalterJones,26778110,https://twitter.com/RepWalterJones
RepBeatty,1531521632,https://twitter.com/RepBeatty
CongressmanGT,18967498,https://twitter.com/CongressmanGT
RepLouBarletta,239871673,https://twitter.com/RepLouBarletta
RepRyanCostello,2953922782,https://twitter.com/RepRyanCostello
RepPeterDeFazio,252249233,https://twitter.com/RepPeterDeFazio
RepMarcyKaptur,581141508,https://twitter.com/RepMarcyKaptur
RepSteveStivers,211420609,https://twitter.com/RepSteveStivers
RepBrady,148453195,https://twitter.com/RepBrady
RepBillJohnson,211530910,https://twitter.com/RepBillJohnson
RepRussell,2966758114,https://twitter.com/RepRussell
RepScottPerry,18773159,https://twitter.com/RepScottPerry
RepSchrader,20545793,https://twitter.com/RepSchrader
