first_name,last_name,party
ilhan,omar,D
pete,stauber,R
michael,guest,R
susie,lee,D
steven,horsford,D
chris,pappas,D
andy,kim,D
tom,malinowski,D
mikie,sherrill,D
deb,haaland,D
xochitl,small,D
jerry,nadler,D
max,rose,D
alexandria,ocasiocortez,D
antonio,delgado,D
anthony,brindisi,D
chris,jacobs,R
greg,murphy,R
dan,bishop,R
kelly,armstrong,R
anthony,gonzalez,R
kendra,horn,D
madeleine,dean,D
chrissy,houlahan,D
dan,meuser,R
fred,keller,R
john,joyce,R
guy,reschenthaler,R
mike,doyle,D
joe,cunningham,D
william,timmons,R
dusty,johnson,R
tim,burchett,R
john,rose,R
mark,green,R
dan,crenshaw,R
van,taylor,R
lance,gooden,R
ron,wright,R
lizzie,fletcher,D
veronica,escobar,D
chip,roy,R
sylvia,garcia,D
colin,allred,D
ben,mcadams,D
elaine,luria,D
denver,riggleman,R
ben,cline,R
abigail,spanberger,D
jennifer,wexton,D
kim,schrier,D
denny,heck,D
carol,miller,R
bryan,steil,R
tom,tiffany,R
michael,nicolas,D
jenniffer,gonzalez,R
