user,first_name,last_name,party
repblumenauer,earl,blumenauer,D
RepMarkTakano,mark,takano,D
MarioDB,mario,diazbalart,R
RepSarbanes,john,sarbanes,D
RepHanabusa,colleen,hanabusa,D
RepRobWoodall,rob,woodall,R
RepLaMalfa,doug,lamalfa,R
CongressmanRaja,raja,krishnamoorthi,D
RepStephMurphy,stephanie,murphy,D
DanaRohrabacher,dana,rohrabacher,R
RepCardenas,tony,cardenas,D
EleanorNorton,eleanor,norton,D
RepAndreCarson,andre,carson,D
RepSchneider,brad,schneider,D
DorisMatsui,doris,matsui,D
gracenapolitano,grace,napolitano,D
RepErikPaulsen,erik,paulsen,R
RepSmucker,lloyd,smucker,R
RepRichardNeal,richard,neal,D
RepSamGraves,sam,graves,R
TomRooney,tom,rooney,R
RepLoisFrankel,lois,frankel,D
RepBarragan,nanette,barragan,D
RepHuffman,jared,huffman,D
RepCheri,cheri,bustos,D
RepPoliquin,bruce,poliquin,R
GOPLeader,kevin,mccarthy,R
RepDLamborn,doug,lamborn,R
repsandylevin,andy,levin,D
RepGarretGraves,garret,graves,R
RepJimBanks,jim,banks,R
rosadelauro,rosa,delauro,D
RepBonamici,ami,bera,D
RepLBR,lisa,rochester,D
RepDavidEPrice,david,price,D
RepLanceNJ7,lance,gooden,R
RepPeteKing,peter,king,R
RepBillFlores,bill,flores,R
RepTenney,claudia,tenney,R
repdinatitus,dina,titus,D
RepMarkMeadows,mark,meadows,R
RepMGriffith,morgan,griffith,R
boblatta,bob,latta,R
RepHultgren,randy,hultgren,R
RepBarbaraLee,barbara,lee,D
RepAnnaEshoo,anna,eshoo,D
RepRaskin,jamie,raskin,D
RepShimkus,john,shimkus,R
USRepRickNolan,rick,nolan,D
RepTomMacArthur,tom,macarthur,R
RepAdrianSmith,adrian,smith,R
SamsPressShop,sam,johnson,R
DesJarlaisTN04,scott,desjarlais,R
RepDaveJoyce,david,joyce,R
RepGeneGreen,gene,green,D
RepChrisSmith,chris,smith,R
RepStefanik,elise,stefanik,R
RepKihuen,ruben,kihuen,D
RepBradWenstrup,brad,wenstrup,R
RepRatcliffe,john,ratcliffe,R
RepLeeZeldin,lee,zeldin,R
RepBonnie,bonnie,coleman,D
repjoecrowley,joseph,crowley,D
RepLujanGrisham,jan,schakowsky,D
BennieGThompson,bennie,thompson,D
PeterWelch,peter,welch,D
RepChrisCollins,chris,collins,R
RepMikeTurner,mike,turner,R
RepJoseSerrano,jose,serrano,D
virginiafoxx,virginia,foxx,R
RepMullin,markwayne,mullin,R
RepTomSuozzi,thomas,suozzi,D
RepJeffries,hakeem,jeffries,D
DavidRouzer,david,rouzer,R
USRepRodney,rodney,davis,R
RepMaloney,carolyn,maloney,D
RepKevinCramer,kevin,cramer,R
MarkAmodeiNV2,mark,amodei,R
BobbyScott,bobby,scott,D
RepJoeBarton,joe,barton,R
RepJenniffer,jenniffer,gonzalez,R
HurdOnTheHill,will,hurd,R
Jim_Jordan,jim,jordan,R
PatTiberi,pat,tiberi,R
BillPascrell,bill,pascrell,D
repjimcooper,jim,cooper,D
repgregwalden,greg,walden,R
MikeKellyPA,mike,kelly,R
RepLoBiondo,frank,lobiondo,R
WarrenDavidson,warren,davidson,R
RepCharlieDent,charlie,dent,R
RepTomMarino,tom,marino,R
JimLangevin,james,langevin,D
RepMarciaFudge,marcia,fudge,D
JacksonLeeTX18,sheila,lee,D
RepAlGreen,al,green,D
RepTedBudd,ted,budd,R
RepDaveBrat,dave,brat,R
RepPeteOlson,pete,olson,R
RepMarkWalker,mark,walker,R
NitaLowey,nita,lowey,D
RepAnnieKuster,ann,kuster,D
ConawayTX11,mike,conaway,R
DonaldNorcross,donald,norcross,D
RepAnnWagner,ann,wagner,R
TomColeOK04,tom,cole,R
RepJerryNadler,jerry,nadler,D
RepDelBene,suzan,delbene,D
RepKayGranger,kay,granger,R
RepSires,albio,sires,D
PatrickMcHenry,patrick,mchenry,R
RepGraceMeng,grace,meng,D
GKButterfield,g.,butterfield,D
FrankPallone,frank,pallone,D
RepHartzler,vicky,hartzler,R
RepChrisStewart,chris,stewart,R
RepBrianFitz,brian,fitzpatrick,R
PeteSessions,pete,sessions,R
RepSheaPorter,carol,sheaporter,D
TGowdySC,trey,gowdy,R
TXRandy14,randy,weber,R
RepJasonSmith,jason,smith,R
RepEliotEngel,eliot,engel,D
RepPittenger,robert,pittenger,R
RepTimRyan,tim,ryan,D
RepJohnFaso,john,faso,R
RepHolding,george,holding,R
replouiegohmert,louie,gohmert,R
RepJohnDuncanJr,jimmy,duncan,R
RepAdams,alma,adams,D
RepKenMarchant,kenny,marchant,R
RepJeffDuncan,jeff,duncan,R
GreggHarper,gregg,harper,R
RepJohnKatko,john,katko,R
RepDonaldPayne,donald,payne,D
michaelcburgess,michael,burgess,R
RepRichHudson,richard,hudson,R
RepRickLarsen,rick,larsen,D
louiseslaughter,louise,slaughter,D
RepLloydDoggett,lloyd,doggett,D
RepSanfordSC,sanford,bishop,D
RepRonKind,ron,kind,D
RepNewhouse,dan,newhouse,R
RepLizCheney,liz,cheney,R
RepSeanDuffy,sean,duffy,R
RepAdamSmith,adam,smith,D
RepAlexMooney,alex,mooney,R
RepKevinBrady,kevin,brady,R
RepBillShuster,bill,shuster,R
CongCulberson,john,culberson,R
RepHensarling,jeb,hensarling,R
jasoninthehouse,jason,chaffetz,R
RepKathleenRice,kathleen,rice,D
RepFilemonVela,filemon,vela,D
RepSteveChabot,steve,chabot,R
repmarkpocan,mark,pocan,D
SpeakerRyan,paul,ryan,R
RepEvanJenkins,evan,jenkins,R
JimPressOffice,jim,sensenbrenner,R
RepFrankLucas,frank,lucas,R
CongPalazzo,steven,palazzo,R
teammoulton,mo,brooks,R
RepPaulTonko,paul,tonko,D
RepBobGibbs,bob,gibbs,R
DrNealDunnFL2,neal,dunn,R
RepAndyHarrisMD,andy,harris,R
RepKinzinger,adam,kinzinger,R
RepBrianHiggins,brian,higgins,D
RepJohnConyers,john,conyers,D
RepRaulGrijalva,raul,grijalva,D
TulsiPress,tulsi,gabbard,D
RepGutierrez,luis,gutierrez,D
RepTomGraves,tom,graves,R
RepLynnJenkins,lynn,jenkins,R
RepTrentKelly,trent,kelly,R
RepTomEmmer,tom,emmer,R
repdonyoung,don,young,R
RepDarrenSoto,darren,soto,D
RepAnthonyBrown,anthony,brown,D
RepRutherfordFL,john,rutherford,R
RepScottTaylor,scott,taylor,R
RepClayHiggins,clay,higgins,R
RepMikeJohnson,mike,johnson,R
RepMattGaetz,matt,gaetz,R
RepLouCorrea,lou,correa,D
RepRonEstes,ron,estes,R
RepDevinNunes,devin,nunes,R
RepTomGarrett,tom,garrett,R
karenhandel,karen,handel,R
gianforte,greg,gianforte,R
JimmyGomezCA,jimmy,gomez,D
RalphNorman,ralph,norman,R
RepMaxineWaters,maxine,waters,D
RepGregoryMeeks,gregory,meeks,D
RepDavidKustoff,david,kustoff,R
ConorLambPA,conor,lamb,D
RepBlaine,blaine,luetkemeyer,R
MIDaveTrott,dave,trott,R
RepBrownley,ro,khanna,D
WydenPress,ron,wyden,D
TomUdallPress,tom,udall,D
SenCoonsOffice,chris,coons,D
JohnKennedyLA,john,kennedy,R
GrassleyPress,chuck,grassley,R
GaryPeters,gary,peters,D
DianneFeinstein,dianne,feinstein,D
BobMenendezNJ,bob,menendez,D
MarthaMcSally,martha,mcsally,R
SenKevinCramer,kevin,cramer,R
SenatorSinema,kyrsten,sinema,D
senatemajldr,mitch,mcconnell,R
joniernst,joni,ernst,R
BenSasse,ben,sasse,R
DanSullivan_AK,dan,sullivan,R
robportman,rob,portman,R
VanHollenForMD,van,taylor,R
gillibrandny,kirsten,gillibrand,D
SenDougJones,doug,jones,D
SenBillCassidy,bill,cassidy,R
SenatorBraun,mike,braun,R
DrRandPaul,rand,paul,R
MichaelBennet,michael,bennet,D
brianschatz,brian,schatz,D
tammybaldwin,tammy,baldwin,D
Boozman4AR,john,boozman,R
SenRickScott,rick,scott,R
MurrayCampaign,patty,murray,D
mazieforhawaii,mazie,hirono,D
BernieSanders,bernie,sanders,D
JeffMerkley,jeff,merkley,D
JohnnyIsakson,johnny,isakson,R
DickDurbin,dick,durbin,D
TammyforIL,tammy,duckworth,D
Maggie_Hassan,maggie,hassan,D
JimInhofe,jim,inhofe,R
marcorubio,marco,rubio,R
jontester,jon,tester,D
stabenow,debbie,stabenow,D
CoryGardner,cory,gardner,R
SenAmyKlobuchar,amy,klobuchar,D
tedcruz,ted,cruz,R
PatToomey,pat,toomey,R
kevincramer,kevin,cramer,R
RogerWicker,roger,wicker,R
JeanneShaheen,jeanne,shaheen,D
CoryBooker,cory,booker,D
kyrstensinema,kyrsten,sinema,D
LamarAlexander,lamar,alexander,R
ThomTillis,thom,tillis,R
SherrodBrown,sherrod,brown,D
johnthune,john,thune,R
KamalaHarris,kamala,harris,D
MariaCantwell,maria,cantwell,D
TinaSmithMN,tina,smith,D
MittRomney,mitt,romney,R
ToddYoungIN,todd,young,R
VoteMarsha,marsha,blackburn,R
votetimscott,tim,scott,R
Bob_Casey,bob,casey,D
JoeManchinWV,joe,manchin,D
WydenForOregon,ro,khanna,D
RonJohnsonWI,ron,johnson,R
ChrisMurphyCT,chris,murphy,D
LisaForSenate,lisa,murkowski,R
CapitoforWV,shelley,capito,R
BurrForSenate,richard,burr,R
SenatorBennet,michael,bennet,D
cindyhydesmith,cindy,hydesmith,R
BenCardinforMD,ben,cardin,D
ScottforFlorida,rick,scott,R
DebFischerNE,deb,fischer,R
TomCottonAR,tom,cotton,R
ewarren,warren,davidson,R
TomCarperforDE,tom,carper,D
RoyBluntMO,roy,blunt,R
MarkWarnerVA,mark,warner,D
PatRoberts,pat,roberts,R
SheldonforRI,sheldon,whitehouse,D
EdMarkey,ed,markey,D
Perduesenate,david,perdue,R
braun4indiana,diana,degette,D
chuckschumer,chuck,schumer,D
HawleyMO,mo,brooks,R
SenMcSallyAZ,martha,mcsally,R
CatherineForNV,catherine,masto,D
RosenforNevada,ro,khanna,D
SenJackyRosen,jacky,rosen,D
SenTinaSmith,tina,smith,D
SenHydeSmith,cindy,hydesmith,R
SenatorRomney,ro,khanna,D
SenHawleyPress,josh,hawley,R
Risch4Idaho,jim,risch,R
SenatorLoeffler,kelly,loeffler,R
AngieCraigMN,angie,craig,D
benraylujan,ben,lujan,D
bradyfortexas,kevin,brady,R
chiproytx,chip,roy,R
chuck4congress,judy,chu,D
CongJoeWilson,joe,wilson,R
larsenrick,rick,larsen,D
marygayscanlon,mary,scanlon,D
pallonefornj,frank,pallone,D
reschenthaler,guy,reschenthaler,R
Kilili_Sablan,gregorio,sablan,D
Andy_Levin,andy,levin,D
AnnMcLaneKuster,ann,kuster,D
Armstrong_ND,kelly,armstrong,R
AyannaPressley,ayanna,pressley,D
BrianFitzUSA,brian,fitzpatrick,R
CarolynBMaloney,carolyn,maloney,D
ClyburnSC06,jim,clyburn,D
CongressmanJVD,jeff,drew,R
CoopForCongress,jim,cooper,D
DanCrenshawTX,dan,crenshaw,R
DanLipinski,dan,lipinski,D
DaveJoyceOH14,david,joyce,R
DavidKustoff,david,kustoff,R
DebDingell,debbie,dingell,D
DelgadoforNY19,antonio,delgado,D
DerekKilmer,derek,kilmer,D
Donald_McEachin,donald,mceachin,D
DonJBacon,don,bacon,R
DrMarkGreen4TN,mark,green,R
Duncan4Congress,duncan,hunter,R
DustyJohnson,dusty,johnson,R
ElaineLuriaVA,elaine,luria,D
ElectConnolly,gerry,connolly,D
ElissaSlotkin,elissa,slotkin,D
Flores4Congress,bill,flores,R
GoDutchForMD,dutch,ruppersberger,D
GregForMontana,greg,gianforte,R
GT_TeamGT,glenn,thompson,R
Gwen4Congress,gwen,moore,D
Higgins4WNY,brian,higgins,D
HornForCongress,kendra,horn,D
Ilhan,ilhan,omar,D
JaimeForUSRep,jaime,beutler,R
JenniferWexton,jennifer,wexton,D
Jim_Banks,jim,banks,R
JoeCunninghamSC,joe,cunningham,D
JohnRoseforTN,john,rose,R
JoshGottheimer,josh,gottheimer,D
JoyceBeatty,joyce,beatty,D
JudgeJohnCarter,john,carter,R
KathyCastorFL,kathy,castor,D
KindforCongress,ron,kind,D
LindaTSanchez,linda,sanchez,D
Lizzie4Congress,lizzie,fletcher,D
SteveScaliseGOP,steve,scalise,R
LloydSmuckerPA,lloyd,smucker,R
LuetkemeyerB,blaine,luetkemeyer,R
MarcVeasey,marc,veasey,D
MarioDBCamp,mario,diazbalart,R
MarkTakano,mark,takano,D
McCaulforTexas,michael,mccaul,R
McHenryCampaign,henry,cuellar,D
MichaelJCloud,michael,cloud,R
MikeforWI,mike,gallagher,R
MikeRogersCamp,mike,rogers,R
MikieSherrill,mikie,sherrill,D
MooneyforWV,mo,brooks,R
PaulTonko,paul,tonko,D
PramilaJayapal,pramila,jayapal,D
RatcliffeTX4,john,ratcliffe,R
ReElectNydia,nydia,velazquez,D
RepAlGreenTX,al,green,D
RepBalderson,troy,balderson,R
RepDeanPhillips,dean,phillips,D
RepDebHaaland,deb,haaland,D
RepLynch,stephen,lynch,D
RobBishopUT,rob,bishop,R
SpanbergerVA07,abigail,spanberger,D
WilliamKeating,bill,keating,D
ABrindisiNY,anthony,brindisi,D
CartwrightPA,matt,cartwright,D
SteveChabot,steve,chabot,R
RepTimmons,william,timmons,R
Tcardenas,tony,cardenas,D
BryanSteil,bryan,steil,R
RepFredKeller,fred,keller,R
Lancegooden,lance,gooden,R
RepFinkenauer,abby,finkenauer,D
RepCarolMiller,carol,miller,R
RepEdCase,ed,case,D
RepJohnJoyce,john,joyce,R
RepLucyMcBath,lucy,mcbath,D
RepChuyGarcia,jesus,garcia,D
RepKendraHorn,kendra,horn,D
RepCasten,sean,casten,D
RepDLesko,debbie,lesko,R
RepWexton,jennifer,wexton,D
RepCloudTX,michael,cloud,R
RepAGonzalez,anthony,gonzalez,R
RepJoeMorelle,joseph,morelle,D
RepChrisPappas,chris,pappas,D
RepKatieHill,katie,hill,D
RepSusanWild,susan,wild,D
RepBenCline,ben,cline,R
RepVanTaylor,van,taylor,R
RepBryanSteil,bryan,steil,R
RepPeteStauber,pete,stauber,R
RepHaleyStevens,haley,stevens,D
RepSlotkin,elissa,slotkin,D
RepMaxRose,max,rose,D
RepJoeNeguse,joe,neguse,D
RepAndyKimNJ,andy,kim,D
RepRashida,rashida,tlaib,D
RepLoriTrahan,lori,trahan,D
RepCunningham,joe,cunningham,D
RepAndyLevin,andy,levin,D
RepElaineLuria,elaine,luria,D
RepKimSchrier,kim,schrier,D
repdelgado,antonio,delgado,D
RepArmstrongND,kelly,armstrong,R
RepUnderwood,lauren,underwood,D
RepDavidTrone,david,trone,D
RepPressley,ayanna,pressley,D
RepTorresSmall,xochitl,small,D
RepJoshHarder,josh,harder,D
RepCindyAxne,cindy,axne,D
RepGregStanton,greg,stanton,D
RepDanCrenshaw,dan,crenshaw,R
RepBrindisi,anthony,brindisi,D
DonnaShalala,donna,shalala,D
SMurphyCongress,stephanie,murphy,D
RepMarshall,roger,marshall,R
DrPaulGosar,paul,gosar,R
LaurenUnderwood,lauren,underwood,D
RepRalphNorman,ralph,norman,R
GregPenceIN,greg,pence,R
LoriTrahanMA,lori,trahan,D
VanDrewForNJ,jeff,drew,R
sharicedavids,sharice,davids,D
RepGuthrie,brett,guthrie,R
RepJimmyGomez,jimmy,gomez,D
TomOHalleran,tom,ohalleran,D
ChuyForCongress,judy,chu,D
MaxineWaters,maxine,waters,D
BrianMastFL,brian,mast,R
VoteForTrey,trey,hollingsworth,R
LisaBRochester,lisa,rochester,D
GReschenthaler,guy,reschenthaler,R
FrancisRooney,francis,rooney,R
MikeJohnson,mike,johnson,R
grace4congress,grace,napolitano,D
Abby4Iowa,abby,finkenauer,D
JoeNeguse,joe,neguse,D
DarrenSoto,darren,soto,D
JoshHarder,josh,harder,D
Buddy_Carter,buddy,carter,R
MikeSimpson4ID,mike,simpson,R
LoisFrankel,lois,frankel,D
ericswalwell,eric,swalwell,D
